"filename", "language", "Python", "Batch", "Properties", "PowerShell", "Markdown", "XML", "JSON", "Objective-C", "C", "Makefile", "LaTeX", "C++", "HTML", "CSS", "JavaScript", "reStructuredText", "Ini", "comment", "blank", "total"
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\numpy\array_api\__init__.py", "Python", 228, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 118, 30, 376
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\numpy\array_api\_array_object.py", "Python", 589, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 397, 101, 1087
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\numpy\array_api\_constants.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\numpy\array_api\_creation_functions.py", "Python", 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 58, 352
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\numpy\array_api\_data_type_functions.py", "Python", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 27, 135
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\numpy\array_api\_dtypes.py", "Python", 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 8, 144
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\numpy\array_api\_elementwise_functions.py", "Python", 296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 319, 115, 730
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\numpy\array_api\_manipulation_functions.py", "Python", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 19, 98
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\numpy\array_api\_searching_functions.py", "Python", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 12, 48
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\numpy\array_api\_set_functions.py", "Python", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 21, 103
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\numpy\array_api\_sorting_functions.py", "Python", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 7, 49
